DATE,REGION,CODE,NB_POINTS_SOUTIRAGE,ENERGIE_SOUTIREE
2022-01-25,Bourgogne-Franche-Comté,27,82253032,40803887285.0
2022-01-25,Bretagne,53,103555028,52794275248.0
2022-01-25,Centre-Val de Loire,24,68812264,40169638983.0
2022-01-25,Grand-Est,44,145743345,68937305871.0
2022-01-25,Hauts-de-France,32,142632496,67129674269.0
2022-01-25,Normandie,28,95175772,51264685682.0
2022-01-25,Nouvelle Aquitaine,75,174006504,94710177326.0
2022-01-25,Occitanie,76,188697668,96527824053.0
2022-01-25,Pays de la Loire,52,109368222,60177957294.0
2022-01-25,Provence-Alpes-Côte d'Azur,93,168178504,82835015685.0
2022-01-25,Île-de-France,11,313217550,132349924678.0
2022-01-26,Auvergne-Rhône-Alpes,84,231414053,119370218073.0
2022-01-26,Bourgogne-Franche-Comté,27,82255276,41285849309.0
2022-01-26,Bretagne,53,103560187,53401886572.0
2022-01-26,Centre-Val de Loire,24,68815448,40659977475.0
2022-01-26,Grand-Est,44,145747839,70256061263.0
2022-01-26,Hauts-de-France,32,142635380,67906805501.0
2022-01-26,Normandie,28,95177720,51817680927.0
2022-01-26,Nouvelle Aquitaine,75,174010828,95871338071.0
2022-01-26,Occitanie,76,188704182,97590639566.0
2022-01-26,Pays de la Loire,52,109373622,60877293671.0
2022-01-26,Provence-Alpes-Côte d'Azur,93,168191076,83731329983.0
2022-01-26,Île-de-France,11,313243968,133819913400.0
2022-01-27,Auvergne-Rhône-Alpes,84,231433300,117370897635.0
2022-01-27,Bourgogne-Franche-Comté,27,82260742,40608883627.0
2022-01-27,Bretagne,53,103567172,52499983648.0
2022-01-27,Centre-Val de Loire,24,68817156,39885540601.0
2022-01-27,Grand-Est,44,145757671,69650750257.0
2022-01-27,Hauts-de-France,32,142643180,66680435187.0
2022-01-27,Normandie,28,95182941,50857782003.0
2022-01-27,Nouvelle Aquitaine,75,174021134,94272976726.0
2022-01-27,Occitanie,76,188717605,95806463744.0
2022-01-27,Pays de la Loire,52,109380812,59730147452.0
2022-01-27,Provence-Alpes-Côte d'Azur,93,168206178,82109913096.0
2022-01-27,Île-de-France,11,313279348,131385793052.0
2022-01-28,Auvergne-Rhône-Alpes,84,231465078,113016178769.0
2022-01-28,Bourgogne-Franche-Comté,27,82269958,38947815050.0
2022-01-28,Bretagne,53,103576338,50084888482.0
2022-01-28,Centre-Val de Loire,24,68826788,38159441976.0
2022-01-28,Grand-Est,44,145772395,66469238560.0
2022-01-28,Hauts-de-France,32,142658272,64166691600.0
2022-01-28,Normandie,28,95197136,48737229515.0
2022-01-28,Nouvelle Aquitaine,75,174039906,90341340586.0
2022-01-28,Occitanie,76,188743566,91661173488.0
2022-01-28,Pays de la Loire,52,109390434,56995375289.0
2022-01-28,Provence-Alpes-Côte d'Azur,93,168229752,78690057197.0
2022-01-28,Île-de-France,11,313331370,125495808435.0
2022-01-29,Auvergne-Rhône-Alpes,84,231456654,108351569905.0
2022-01-29,Bourgogne-Franche-Comté,27,82266976,37347585207.0
2022-01-29,Bretagne,53,103573272,48018881581.0
2022-01-29,Centre-Val de Loire,24,68825954,36619575964.0
2022-01-29,Grand-Est,44,145776479,64422701286.0
2022-01-29,Hauts-de-France,32,142651576,61696039354.0
2022-01-29,Normandie,28,95194340,46729452559.0
2022-01-29,Nouvelle Aquitaine,75,174031124,86754370554.0
